order_id,order_date,quantity,category,status
100001,2024-01-01,1,Розы,completed
100002,2024-01-01,1,Сборные букеты,completed
100003,2024-01-01,3,Розы,completed
100004,2024-01-01,1,Розы,completed
100005,2024-01-01,1,Тюльпаны,completed
100006,2024-01-01,1,Тюльпаны,completed
100007,2024-01-01,1,Тюльпаны,completed
100008,2024-01-01,1,Сборные букеты,completed
100009,2024-01-01,1,Хризантемы,completed
100010,2024-01-01,1,Розы,completed
100011,2024-01-01,2,Композиции,completed
100012,2024-01-01,1,Розы,completed
100013,2024-01-02,2,Розы,completed
100014,2024-01-02,1,Сборные букеты,completed
100015,2024-01-02,1,Хризантемы,completed
100016,2024-01-02,2,Сборные букеты,completed
100017,2024-01-02,2,Хризантемы,completed
100018,2024-01-02,1,Розы,completed
100019,2024-01-03,1,Сборные букеты,completed
100020,2024-01-03,1,Хризантемы,completed
100021,2024-01-03,3,Розы,pending
100022,2024-01-03,1,Розы,completed
100023,2024-01-03,2,Сборные букеты,completed
100024,2024-01-03,1,Розы,completed
100025,2024-01-03,1,Сборные букеты,completed
100026,2024-01-03,1,Розы,completed
100027,2024-01-03,1,Сборные букеты,completed
100028,2024-01-04,2,Сборные букеты,completed
100029,2024-01-04,1,Сборные букеты,completed
100030,2024-01-04,1,Тюльпаны,completed
100031,2024-01-04,1,Розы,completed
100032,2024-01-04,2,Пионы,completed
100033,2024-01-04,2,Тюльпаны,completed
100034,2024-01-04,1,Розы,completed
100035,2024-01-04,2,Композиции,completed
100036,2024-01-04,2,Сборные букеты,completed
100037,2024-01-04,1,Сборные букеты,completed
100038,2024-01-05,1,Розы,completed
100039,2024-01-05,2,Сборные букеты,completed
100040,2024-01-05,1,Пионы,completed
100041,2024-01-05,1,Розы,completed
100042,2024-01-05,1,Тюльпаны,completed
100043,2024-01-05,3,Тюльпаны,cancelled
100044,2024-01-05,1,Розы,completed
100045,2024-01-05,1,Тюльпаны,completed
100046,2024-01-05,1,Пионы,completed
100047,2024-01-05,1,Композиции,completed
100048,2024-01-05,3,Пионы,completed
100049,2024-01-05,2,Сборные букеты,completed
100050,2024-01-05,1,Сборные букеты,completed
100051,2024-01-05,1,Хризантемы,completed
100052,2024-01-05,1,Сборные букеты,completed
100053,2024-01-05,1,Розы,completed
100054,2024-01-06,1,Розы,completed
100055,2024-01-06,1,Композиции,completed
100056,2024-01-06,2,Розы,completed
100057,2024-01-06,1,Розы,completed
100058,2024-01-06,1,Хризантемы,completed
100059,2024-01-06,2,Розы,completed
100060,2024-01-06,1,Хризантемы,completed
100061,2024-01-06,2,Сборные букеты,completed
100062,2024-01-06,1,Сборные букеты,completed
100063,2024-01-07,1,Хризантемы,completed
100064,2024-01-07,1,Сборные букеты,completed
100065,2024-01-07,1,Хризантемы,completed
100066,2024-01-07,1,Розы,completed
100067,2024-01-07,2,Тюльпаны,completed
100068,2024-01-07,1,Сборные букеты,completed
100069,2024-01-07,1,Розы,completed
100070,2024-01-08,2,Хризантемы,pending
100071,2024-01-08,1,Хризантемы,completed
100072,2024-01-08,1,Сборные букеты,pending
100073,2024-01-08,1,Хризантемы,completed
100074,2024-01-08,2,Композиции,completed
100075,2024-01-08,2,Розы,cancelled
100076,2024-01-08,3,Композиции,completed
100077,2024-01-08,1,Тюльпаны,completed
100078,2024-01-08,1,Тюльпаны,completed
100079,2024-01-09,1,Хризантемы,completed
100080,2024-01-09,1,Композиции,pending
100081,2024-01-09,2,Сборные букеты,completed
100082,2024-01-09,1,Сборные букеты,completed
100083,2024-01-09,2,Сборные букеты,pending
100084,2024-01-09,1,Композиции,completed
100085,2024-01-09,1,Сборные букеты,completed
100086,2024-01-09,2,Сборные букеты,completed
100087,2024-01-09,1,Тюльпаны,completed
100088,2024-01-09,1,Розы,completed
100089,2024-01-09,1,Тюльпаны,completed
100090,2024-01-09,2,Розы,completed
100091,2024-01-09,1,Розы,completed
100092,2024-01-09,1,Розы,pending
100093,2024-01-09,1,Розы,completed
100094,2024-01-09,2,Хризантемы,pending
100095,2024-01-10,1,Сборные букеты,completed
100096,2024-01-10,1,Розы,completed
100097,2024-01-10,1,Сборные букеты,completed
100098,2024-01-10,1,Розы,completed
100099,2024-01-10,1,Хризантемы,completed
100100,2024-01-10,2,Розы,cancelled
100101,2024-01-10,1,Хризантемы,completed
100102,2024-01-10,1,Розы,completed
100103,2024-01-10,1,Розы,cancelled
100104,2024-01-10,2,Розы,completed
100105,2024-01-11,1,Пионы,completed
100106,2024-01-11,1,Тюльпаны,completed
100107,2024-01-11,1,Хризантемы,completed
100108,2024-01-11,1,Хризантемы,pending
100109,2024-01-11,1,Хризантемы,completed
100110,2024-01-11,1,Хризантемы,completed
100111,2024-01-11,1,Композиции,completed
100112,2024-01-11,1,Хризантемы,completed
100113,2024-01-11,1,Композиции,completed
100114,2024-01-11,1,Композиции,completed
100115,2024-01-12,1,Розы,pending
100116,2024-01-12,2,Тюльпаны,completed
100117,2024-01-12,1,Сборные букеты,pending
100118,2024-01-12,1,Сборные букеты,completed
100119,2024-01-12,2,Сборные букеты,cancelled
100120,2024-01-12,2,Розы,pending
100121,2024-01-13,2,Тюльпаны,completed
100122,2024-01-13,2,Тюльпаны,completed
100123,2024-01-13,2,Розы,completed
100124,2024-01-13,1,Сборные букеты,completed
100125,2024-01-13,1,Тюльпаны,completed
100126,2024-01-13,1,Розы,pending
100127,2024-01-13,1,Композиции,completed
100128,2024-01-13,1,Пионы,completed
100129,2024-01-13,2,Сборные букеты,completed
100130,2024-01-13,1,Сборные букеты,completed
100131,2024-01-14,2,Пионы,completed
100132,2024-01-14,1,Розы,completed
100133,2024-01-14,1,Хризантемы,completed
100134,2024-01-14,1,Сборные букеты,completed
100135,2024-01-15,3,Розы,completed
100136,2024-01-15,2,Тюльпаны,pending
100137,2024-01-15,2,Композиции,pending
100138,2024-01-15,2,Розы,completed
100139,2024-01-15,2,Тюльпаны,completed
100140,2024-01-15,1,Пионы,completed
100141,2024-01-15,1,Розы,completed
100142,2024-01-15,2,Хризантемы,completed
100143,2024-01-15,1,Композиции,completed
100144,2024-01-15,1,Сборные букеты,completed
100145,2024-01-15,3,Розы,completed
100146,2024-01-15,1,Сборные букеты,completed
100147,2024-01-16,1,Пионы,completed
100148,2024-01-16,1,Композиции,completed
100149,2024-01-16,2,Композиции,completed
100150,2024-01-16,1,Хризантемы,completed
100151,2024-01-16,1,Пионы,completed
100152,2024-01-16,3,Розы,cancelled
100153,2024-01-16,1,Сборные букеты,completed
100154,2024-01-16,1,Сборные букеты,pending
100155,2024-01-16,2,Композиции,completed
100156,2024-01-16,1,Сборные букеты,completed
100157,2024-01-16,2,Композиции,completed
100158,2024-01-17,3,Тюльпаны,completed
100159,2024-01-17,1,Сборные букеты,completed
100160,2024-01-17,1,Розы,cancelled
100161,2024-01-17,3,Сборные букеты,completed
100162,2024-01-17,2,Хризантемы,pending
100163,2024-01-17,1,Сборные букеты,completed
100164,2024-01-18,1,Сборные букеты,completed
100165,2024-01-18,1,Розы,completed
100166,2024-01-18,1,Сборные букеты,completed
100167,2024-01-18,1,Хризантемы,completed
100168,2024-01-18,1,Тюльпаны,completed
100169,2024-01-18,1,Сборные букеты,completed
100170,2024-01-18,1,Розы,completed
100171,2024-01-18,1,Тюльпаны,completed
100172,2024-01-18,2,Тюльпаны,completed
100173,2024-01-18,2,Пионы,completed
100174,2024-01-18,2,Хризантемы,completed
100175,2024-01-19,3,Пионы,completed
100176,2024-01-19,1,Тюльпаны,completed
100177,2024-01-19,1,Розы,pending
100178,2024-01-19,1,Розы,completed
100179,2024-01-19,1,Розы,cancelled
100180,2024-01-19,1,Пионы,completed
100181,2024-01-19,1,Розы,completed
100182,2024-01-19,1,Розы,pending
100183,2024-01-19,1,Розы,completed
100184,2024-01-19,1,Тюльпаны,completed
100185,2024-01-19,2,Розы,completed
100186,2024-01-20,2,Розы,completed
100187,2024-01-20,1,Розы,completed
100188,2024-01-20,1,Пионы,completed
100189,2024-01-20,2,Пионы,completed
100190,2024-01-20,1,Розы,cancelled
100191,2024-01-20,1,Пионы,completed
100192,2024-01-20,1,Пионы,completed
100193,2024-01-20,1,Розы,completed
100194,2024-01-20,1,Тюльпаны,completed
100195,2024-01-20,2,Розы,completed
100196,2024-01-20,2,Сборные букеты,pending
100197,2024-01-20,1,Розы,completed
100198,2024-01-20,1,Сборные букеты,completed
100199,2024-01-20,1,Тюльпаны,completed
100200,2024-01-20,1,Хризантемы,completed
100201,2024-01-20,1,Хризантемы,completed
100202,2024-01-20,1,Розы,completed
100203,2024-01-20,1,Розы,completed
100204,2024-01-21,1,Хризантемы,completed
100205,2024-01-21,1,Розы,cancelled
100206,2024-01-21,2,Сборные букеты,completed
100207,2024-01-21,1,Розы,pending
100208,2024-01-21,1,Хризантемы,completed
100209,2024-01-21,1,Сборные букеты,completed
100210,2024-01-21,1,Тюльпаны,completed
100211,2024-01-21,1,Розы,completed
100212,2024-01-21,1,Хризантемы,completed
100213,2024-01-21,1,Хризантемы,completed
100214,2024-01-21,1,Розы,completed
100215,2024-01-21,2,Тюльпаны,completed
100216,2024-01-21,2,Сборные букеты,completed
100217,2024-01-21,1,Пионы,completed
